Rank,Algorithm,Priority,Swappiness,PageCluster,FinalScore,Alloc(GB/s),SeqRead(GB/s),Random(GB/s),Process(GB/s)
75,lzo-rle,200,150,0,11860.7571,1.229,23.956,47309.961,128.864
76,lzo-rle,500,220,1,11789.3397,1.300,24.232,47031.451,119.412
77,lz4,1000,260,0,11785.3356,1.323,24.532,47013.000,121.975
78,lz4,1000,150,0,11773.5249,1.301,24.615,46962.993,125.335
79,zstd,1000,220,1,11738.0351,0.705,19.031,46827.107,126.864
80,zstd,500,200,1,11727.4367,1.082,24.244,46784.886,118.358
81,lz4,200,150,1,11720.7295,1.287,24.792,46754.030,122.314
82,lz4,1000,260,1,11712.6784,1.294,24.670,46723.648,120.209
83,lz4,1000,220,0,11693.8720,1.319,24.545,46645.272,124.304
84,zstd,500,240,1,11645.1613,0.821,23.846,46450.264,126.181
85,lzo-rle,500,240,0,11643.4445,1.315,24.504,46440.835,127.780
86,lzo-rle,200,200,1,11641.6870,1.341,24.962,46446.835,110.773
87,zstd,1000,240,1,11600.5570,0.727,2.397,46298.579,125.058
88,lz4,500,150,1,11571.4514,1.198,23.847,46157.192,123.499
89,lzo-rle,200,240,0,11570.7796,1.316,23.968,46152.959,125.102
90,zstd,1000,200,0,11569.0441,0.720,24.010,46147.881,123.454
91,lz4,200,150,0,11494.6801,1.321,24.796,45851.916,119.660
92,lz4,200,200,0,11484.3726,1.315,25.012,45804.763,126.747
93,lz4,500,180,0,11437.4709,1.233,24.349,45624.148,119.104
94,lz4,200,260,0,11305.0316,1.329,24.651,45092.366,121.063
95,lz4,1000,150,1,11301.6845,1.321,23.966,45078.635,122.529
96,lz4,500,200,1,11284.2562,1.308,24.865,45004.469,126.761
97,lz4,1000,200,0,11280.3360,1.180,23.965,44989.585,127.277
98,lz4,500,240,0,11228.6267,1.304,23.671,44788.610,120.237
99,lzo-rle,500,260,0,11174.0960,1.333,24.843,44563.760,126.847
100,zstd,200,200,0,11118.5116,0.566,4.253,44372.039,120.423
101,lzo-rle,500,180,0,11097.2567,1.337,24.962,44258.108,124.536
102,lzo-rle,1000,150,0,10932.3850,1.327,24.616,43601.344,121.662
103,zstd,200,240,1,10808.5145,0.482,23.763,43113.943,113.897
104,lzo-rle,200,150,1,10729.0428,1.291,23.449,42798.293,110.561
105,zstd,1000,240,0,10517.9024,0.564,24.330,41939.545,127.881
106,zstd,200,260,1,10461.8125,0.552,9.667,41736.445,123.316
107,lz4,200,200,1,9437.7369,1.279,23.933,37627.200,117.186
108,lzo-rle,500,240,1,8648.6840,1.193,24.204,34468.538,119.951
